,Compound,Date,Negative,Neutral,Positive,User,text
30,0.0,Thu Jan 04 22:22:58 +0000 2018,1.0,0.0,0.0,@nynjpaweather,I'll review the final totals and write an overview of the event tomorrow once all the final observations are in.
31,0.3612,Thu Jan 04 22:22:20 +0000 2018,0.815,0.06,0.124,@nynjpaweather,"Overall, I am pleased with how the forecast fared against the actual storm.  The idea was to warn of the potential… https://t.co/isXiCv393J"
32,0.1531,Thu Jan 04 22:18:06 +0000 2018,0.935,0.0,0.065,@nynjpaweather,"After the snow exits, Arctic air will build into the region.  Anything wet on the ground is going to be solid ice b… https://t.co/pZ77ks8fVn"
33,0.0,Thu Jan 04 22:16:09 +0000 2018,1.0,0.0,0.0,@nynjpaweather,"The last few bands of snow, some heavy, are rotating through the region and will be done region wide by 8 PM at the latest."
34,-0.5267,Thu Jan 04 22:10:41 +0000 2018,0.82,0.18,0.0,@nynjpaweather,"RT @NWSNewYorkNY: Quick update on the pressure at Buoy 44008, 54 nautical miles southeast of Nantucket. The pressure was 958 millibars (28.…"
35,0.0,Thu Jan 04 21:57:59 +0000 2018,1.0,0.0,0.0,@nynjpaweather,RT @stormpaulpoulos: Last heavy snow band in Nassau county will move East in the next few hours. Then it’s the wind &amp; bottom dropping temps…
36,-0.765,Thu Jan 04 21:57:48 +0000 2018,0.577,0.423,0.0,@nynjpaweather,RT @epawawx: Wow... horrible just became worse for these people. https://t.co/q82b3UgdxU
37,-0.128,Thu Jan 04 21:57:38 +0000 2018,0.943,0.057,0.0,@nynjpaweather,"RT @PaulCubbyBryant: 90% of airlines cancel flights in and out of EWR today for the storm, but my @SAS flight from Oslo to Newark decides t…"
38,0.25,Thu Jan 04 21:53:39 +0000 2018,0.895,0.0,0.105,@nynjpaweather,"RT @HipNewJersey: #HipNJ photographers, enter @MorrisCountyNJ’s winter photo contest for a chance to have your photo in county communicatio…"
39,0.4215,Thu Jan 04 21:53:26 +0000 2018,0.811,0.0,0.189,@nynjpaweather,"RT @belmardays: #photo  ""Blizzard-254-2"" Greetings from the beach @dinalongsb @amyfreeze7 @jamesGweather @nynjpaweather https://t.co/xY4hsZ…"
40,0.4215,Thu Jan 04 21:53:23 +0000 2018,0.811,0.0,0.189,@nynjpaweather,"RT @belmardays: #photo  ""Blizzard-213-2"" Greetings from the beach @dinalongsb @amyfreeze7 @jamesGweather @nynjpaweather https://t.co/QqTAEd…"
41,0.0,Thu Jan 04 21:46:57 +0000 2018,1.0,0.0,0.0,@nynjpaweather,"RT @WxmanFranz: 17.5"" Waretown, NJ. Measured between 17""-18"". Up to 4' drifts. For the record books here at the coast.@NWS_MountHolly @nynj…"
42,-0.128,Thu Jan 04 21:46:40 +0000 2018,0.81,0.105,0.085,@nynjpaweather,RT @judah47: GFS predicting that increased high latitude blocking near Greenland could lead to more #cold weather for both #Europe and the…
43,0.1531,Thu Jan 04 21:28:49 +0000 2018,0.862,0.0,0.138,@nynjpaweather,"RT @Jseichhorn: @nynjpaweather Solid 14"" in Tinton Falls (North end) https://t.co/UbsxcIlGEV"
44,0.1901,Thu Jan 04 21:18:07 +0000 2018,0.87,0.05,0.081,@nynjpaweather,RT @Andrewkitchen09: Snows tapering down now  hard to get a good measurement but it seems we are around  4” or so Hackettstown NJ @weatherw…
45,0.0,Thu Jan 04 21:17:57 +0000 2018,1.0,0.0,0.0,@nynjpaweather,"RT @AboveAverageA: @nynjpaweather South Shore in Brookhaven area of LI, just after 4pm. https://t.co/6CBVydSAmb"
46,-0.2263,Thu Jan 04 21:02:33 +0000 2018,0.888,0.112,0.0,@nynjpaweather,RT @GSBImagesMBusch: Forget the lull on #Fireisland wildest scene all day streaming live https://t.co/v70iUoSNsz @hoffmanrich @WeatherNatio…
47,0.0772,Thu Jan 04 20:50:58 +0000 2018,0.939,0.0,0.061,@nynjpaweather,The intense snow band is now marching from west to east through Long Island and Connecticut.  Light to moderate sno… https://t.co/SWO4I9lJMs
48,0.8519,Thu Jan 04 20:49:01 +0000 2018,0.726,0.0,0.274,@nynjpaweather,"RT @AFineBlogger: Snow looks done in NYC (UES). Best guess is that Central Park will check in with 9""-10"". Another great forecast by @nynjp…"
49,0.0,Thu Jan 04 20:36:36 +0000 2018,1.0,0.0,0.0,@nynjpaweather,RT @FunkyJBell: @_NEweather @nynjpaweather @NsfwWx Welp I guess I’m going around to shovel the driveway. 2’ drift on my doorstep in Brick a…
50,0.0,Thu Jan 04 20:36:32 +0000 2018,1.0,0.0,0.0,@nynjpaweather,"RT @born2pun: @nynjpaweather much more than expected up here in Dutchess County, NY. https://t.co/kYkJSgWVIX"
51,0.0,Thu Jan 04 20:36:22 +0000 2018,1.0,0.0,0.0,@nynjpaweather,RT @KalTellefsenWX: 3:20pm update in Staten Island #NYwx:  Snow intensity has picked up a little bit with the snow band. High winds seem to…
52,0.0,Thu Jan 04 20:29:39 +0000 2018,1.0,0.0,0.0,@nynjpaweather,RT @marymadlouisa: @mthomp73 @AccuRayno @nynjpaweather @LeeGoldbergABC7 @LonnieQuinnTV @joecioffi @myWeatherNJ I lived in Toms River in the…
53,0.2144,Thu Jan 04 20:29:33 +0000 2018,0.866,0.0,0.134,@nynjpaweather,"RT @vinnay103: Hopefully I measured right, but the amount in Staten Island. @nynjpaweather https://t.co/c4GiqeZKdF"
54,0.2023,Thu Jan 04 20:23:14 +0000 2018,0.909,0.0,0.091,@nynjpaweather,RT @ParalegalCLE: @nynjpaweather top notch forecast.  We moved up a seminar originally scheduled for today based on your concerns outlined…
55,0.0,Thu Jan 04 20:23:06 +0000 2018,1.0,0.0,0.0,@nynjpaweather,"RT @itsjohnparkerr: After multiple measurements on the flattest surface I could find, pushing 18” in Little Egg Harbor @WxmanFranz @nynjpaw…"
56,0.4199,Thu Jan 04 20:16:39 +0000 2018,0.417,0.0,0.583,@nynjpaweather,@Shawn_Farash Thank you!
57,0.6588,Thu Jan 04 20:16:28 +0000 2018,0.785,0.0,0.215,@nynjpaweather,RT @Shawn_Farash: @nynjpaweather saw the potential before everyone else jumped on board. Great job with this forecast!
58,0.0,Thu Jan 04 20:16:08 +0000 2018,1.0,0.0,0.0,@nynjpaweather,RT @mmmiller62: @nynjpaweather We have been having steady light snow here in Lititz almost entire day. Probably another half inch or so. No…
59,-0.1531,Thu Jan 04 20:16:00 +0000 2018,0.932,0.068,0.0,@nynjpaweather,"RT @KalTellefsenWX: Light snow is falling in Staten Island #NYwx with the occasional gust, blowing snow around. A band is about to move int…"
60,0.0,Thu Jan 04 20:15:54 +0000 2018,1.0,0.0,0.0,@nynjpaweather,RT @mrsmillersmiles: @nynjpaweather Astoria NY 6-7 inches and still snowing! https://t.co/I1H2s20Xo4
61,0.0,Thu Jan 04 20:15:47 +0000 2018,1.0,0.0,0.0,@nynjpaweather,"RT @mthomp73: @nynjpaweather @AccuRayno @LeeGoldbergABC7 @LonnieQuinnTV @joecioffi @myWeatherNJ Toms River, NJ https://t.co/Gcq2fgxSdf"
62,0.0,Thu Jan 04 20:15:38 +0000 2018,1.0,0.0,0.0,@nynjpaweather,RT @mthomp73: @nynjpaweather @AccuRayno @LeeGoldbergABC7 @LonnieQuinnTV @joecioffi @myWeatherNJ https://t.co/HvDHCj2Ka5
63,0.7269,Thu Jan 04 19:58:58 +0000 2018,0.643,0.0,0.357,@nynjpaweather,RT @hurricanetrack: @GSBImagesMBusch @JimCantore @NWSNewYorkNY @nynjpaweather @nymetrowx @tristateweather @hoffmanrich My good friend over…
64,0.3818,Thu Jan 04 19:58:49 +0000 2018,0.902,0.0,0.098,@nynjpaweather,RT @GSBImagesMBusch: Slight lull on #Fireisland with the snow and the marina cam is now clear.  Still gusting to 43mph check it out live he…
65,0.0,Thu Jan 04 19:51:57 +0000 2018,1.0,0.0,0.0,@nynjpaweather,RT @Rick_DeMarco_: East Toms River. Sledding off 4 foot drift. @nynjpaweather @EdValleeWx @FlavaFraz21 https://t.co/LPu9sY1kWD
66,0.0,Thu Jan 04 19:50:30 +0000 2018,1.0,0.0,0.0,@nynjpaweather,"RT @NJSnowFan: Snowfall Report, 2:40 pm NW NJ, Succasunna, Morris County. Avg snow depth 3"" measured 2"" to 4"". Drifts here to 12"" in places…"
67,0.7269,Thu Jan 04 19:48:42 +0000 2018,0.663,0.0,0.337,@nynjpaweather,RT @nickmcelroy2: @nynjpaweather Strong band forming quick over CNJ bring it on lol https://t.co/yP0FZzJnvC
68,-0.34,Thu Jan 04 19:44:05 +0000 2018,0.862,0.138,0.0,@nynjpaweather,RT @GSBImagesMBusch: @JimCantore @AMHQ @hoffmanrich @LonnieQuinnTV @WCBSTV @Breaking911 @MaryCalviTV Breaking: Multiple House Fire on Oak I…
69,-0.3089,Thu Jan 04 19:39:44 +0000 2018,0.727,0.273,0.0,@nynjpaweather,Hasn't formed yet.  Hopefully it doesn't https://t.co/xDjCAQrTDm
70,0.3612,Thu Jan 04 19:39:04 +0000 2018,0.444,0.0,0.556,@nynjpaweather,Thank you. https://t.co/KlmOiB58ce
71,0.0,Thu Jan 04 19:38:45 +0000 2018,1.0,0.0,0.0,@nynjpaweather,RT @belmardays: @Behindthearc98 @nynjpaweather @GarySzatkowski Belmar nj ocean Ave some of it might be drifting from boardwalk
72,0.0,Thu Jan 04 19:36:19 +0000 2018,1.0,0.0,0.0,@nynjpaweather,RT @Alli_Shark: @nynjpaweather @nynjpaweather just a little more snow... https://t.co/t90IsMMi4h
73,0.296,Thu Jan 04 19:32:57 +0000 2018,0.761,0.0,0.239,@nynjpaweather,"Yep, a few more waves before it exits. https://t.co/fjXMqXODUE"
74,-0.2023,Thu Jan 04 19:32:26 +0000 2018,0.917,0.083,0.0,@nynjpaweather,"RT @Zak_NYCMetroWx: Measured about 3.5-4.0"" here in Airmont, NY. That heavy band came within 3 miles of here before stalling and migrating…"
75,0.1779,Thu Jan 04 19:32:18 +0000 2018,0.892,0.0,0.108,@nynjpaweather,RT @belmardays: Freehold twsp schools closed Friday @nynjpaweather @brian4NY just heard from official report https://t.co/GqQzPug0Jy
76,0.3818,Thu Jan 04 19:28:40 +0000 2018,0.885,0.0,0.115,@nynjpaweather,RT @KalTellefsenWX: 2:20pm update in Staten Island #NYwx: Snow and wind have significantly calmed down except for occasional gusts. We’ll s…
77,0.0,Thu Jan 04 19:28:31 +0000 2018,1.0,0.0,0.0,@nynjpaweather,"RT @AFineBlogger: Thin snow but still heavy UES, Manhattan. @nynjpaweather https://t.co/InIhfjuONW"
78,0.0,Thu Jan 04 19:28:22 +0000 2018,1.0,0.0,0.0,@nynjpaweather,"Behind this heavy snow band, periods of light to moderate snow can be expected through this evening, ending for all… https://t.co/BVwgGnsMbh"
79,0.1531,Thu Jan 04 19:26:48 +0000 2018,0.885,0.0,0.115,@nynjpaweather,The intense snow band is finally starting to move east and will track through CT and Long Island with intense snowf… https://t.co/uDOuAVwQ2F
80,0.0,Thu Jan 04 19:24:21 +0000 2018,1.0,0.0,0.0,@nynjpaweather,"RT @belmardays: The average amount of snow on our front yard ocean Ave is 31 inches , lots of blowing, this high might be from blowing but…"
81,0.0,Thu Jan 04 19:08:30 +0000 2018,1.0,0.0,0.0,@nynjpaweather,RT @atomanelli: @nynjpaweather 10 inches in Weston Ct Steve - still ripping.
82,0.4215,Thu Jan 04 19:07:13 +0000 2018,0.882,0.0,0.118,@nynjpaweather,RT @Andrewkitchen09: @weatherwilly @NJSnowFan @nynjpaweather Lol just turned the truck off to go inside for 30-40 mins come back out an my…
83,-0.3612,Thu Jan 04 18:52:37 +0000 2018,0.898,0.102,0.0,@nynjpaweather,"RT @manu_2324: Roughly about 6.5-8 inches has fallen in central jersey some drifts are up to 2ft, blowing and blizzard conditions still goi…"
84,0.0,Thu Jan 04 18:52:25 +0000 2018,1.0,0.0,0.0,@nynjpaweather,RT @Andrewkitchen09: @weatherwilly @NJSnowFan @nynjpaweather Those are just 3 different measurements in a 5’ by 5’ area the 6” is right nex…
85,-0.1531,Thu Jan 04 18:52:15 +0000 2018,0.935,0.065,0.0,@nynjpaweather,RT @KalTellefsenWX: We’re on the edge of the snow band and moderate snow is falling with high winds blowing it around. (Staten Island #NYwx…
86,0.5473,Thu Jan 04 18:52:07 +0000 2018,0.221,0.0,0.779,@nynjpaweather,LOL https://t.co/rCjaPN41by
87,0.0,Thu Jan 04 18:51:20 +0000 2018,1.0,0.0,0.0,@nynjpaweather,RT @KalTellefsenWX: Just had thundersnow in Staten Island #NYwx! (Sadly I only caught the lightning) @nynjpaweather @weatherchannel @AmyFre…
88,0.0,Thu Jan 04 18:42:23 +0000 2018,1.0,0.0,0.0,@nynjpaweather,RT @sharvr4: @mthomp73 @nynjpaweather I agree....at least that much in ocean township monmouth cty https://t.co/q4vad5jAkD
89,0.0,Thu Jan 04 18:40:29 +0000 2018,1.0,0.0,0.0,@nynjpaweather,RT @j_feller: @nynjpaweather here is 1st Ave in Manhattan https://t.co/6guKK5rfCm
90,-0.5256,Thu Jan 04 18:38:30 +0000 2018,0.866,0.134,0.0,@nynjpaweather,"RT @Sheryle1122: Very dangerous conditions on Route 80 in NJ...majority of the white lines cannot be seen, ppl making their own lanes #Bomb…"
91,-0.4019,Thu Jan 04 18:33:30 +0000 2018,0.87,0.13,0.0,@nynjpaweather,"RT @JerseyJimKelly: @nynjpaweather Drift has engulfed outside stairs, Hawthorne, NJ. Have seen several instances of trouble traveling the h…"
92,0.4926,Thu Jan 04 18:30:03 +0000 2018,0.385,0.0,0.615,@nynjpaweather,Good form! https://t.co/6Xv8DIlD6L
93,-0.1531,Thu Jan 04 18:29:33 +0000 2018,0.932,0.068,0.0,@nynjpaweather,"RT @KalTellefsenWX: 1:20pm update in Staten Island #NYwx: Light snow is falling, the wind hasn’t let up. It’s totally covering the roads an…"
94,0.296,Thu Jan 04 18:29:22 +0000 2018,0.776,0.086,0.138,@nynjpaweather,RT @AmyBoroff: @nynjpaweather amazingly - 7:30am flight from JFK landed safely in Antigua.  The EWR was cancelled &amp; tomorrow’s 7:30am from…
95,0.5106,Thu Jan 04 18:19:03 +0000 2018,0.852,0.0,0.148,@nynjpaweather,RT @PsychicWitness: It has been snowing heavily for hours and we keep getting strong gusts of wind. @LeeGoldbergABC7 @JeffSmithABC7 @nynjpa…
96,0.3182,Thu Jan 04 18:18:31 +0000 2018,0.901,0.0,0.099,@nynjpaweather,RT @Tomek0419: @nynjpaweather @nymetrowx  @weatherchannel huge gust of wind and heavy snow from the heavy snow band coming across the NYC a…
97,-0.296,Thu Jan 04 18:17:36 +0000 2018,0.855,0.145,0.0,@nynjpaweather,RT @Hardouin: Snapshots from lower Manhattan. Future book cover material? @nynjpaweather @NWSNewYorkNY #nywx https://t.co/u8RmYbWHcG
98,0.0,Thu Jan 04 18:12:09 +0000 2018,1.0,0.0,0.0,@nynjpaweather,RT @ModernNJDad: Still gusty wind mostly blowing snow around. As pic shows not more than 3-4in here #bernardstownship @nynjpaweather https:…
99,0.0,Thu Jan 04 18:11:59 +0000 2018,1.0,0.0,0.0,@nynjpaweather,RT @Andrewkitchen09: Thumping in hackettstown right now smaller flakes but really coming down @weatherwilly @NJSnowFan @nynjpaweather https…
