,Compound,Date,Negative,Neutral,Positive,User,text
30,0.7906,Tue Jan 02 13:44:33 +0000 2018,0.724,0.0,0.276,@realDonaldTrump,Thank you to Brandon Judd of the National Border Patrol Council for your kind words on how well we are doing at the… https://t.co/tmH3s3Q91a
31,0.0258,Tue Jan 02 12:48:00 +0000 2018,0.628,0.184,0.188,@realDonaldTrump,"Crooked Hillary Clinton’s top aid, Huma Abedin, has been accused of disregarding basic security protocols. She put… https://t.co/TAM3Zf9ovm"
32,-0.6249,Tue Jan 02 12:09:17 +0000 2018,0.83,0.17,0.0,@realDonaldTrump,The people of Iran are finally acting against the brutal and corrupt Iranian regime. All of the money that Presiden… https://t.co/AjDsIsx0Gk
33,0.7871,Mon Jan 01 13:37:52 +0000 2018,0.787,0.0,0.213,@realDonaldTrump,"Will be leaving Florida for Washington (D.C.) today at 4:00 P.M. Much work to be done, but it will be a great New Year!"
34,0.5194,Mon Jan 01 12:44:40 +0000 2018,0.644,0.118,0.238,@realDonaldTrump,Iran is failing at every level despite the terrible deal made with them by the Obama Administration. The great Iran… https://t.co/DaPjy8hPH5
35,0.0,Mon Jan 01 12:12:00 +0000 2018,0.781,0.109,0.109,@realDonaldTrump,"The United States has foolishly given Pakistan more than 33 billion dollars in aid over the last 15 years, and they… https://t.co/TuiaWGtnbR"
36,0.8968,Sun Dec 31 23:43:04 +0000 2017,0.587,0.0,0.413,@realDonaldTrump,"HAPPY NEW YEAR! We are MAKING AMERICA GREAT AGAIN, and much faster than anyone thought possible!"
37,0.802,Sun Dec 31 22:18:20 +0000 2017,0.353,0.188,0.459,@realDonaldTrump,"As our Country rapidly grows stronger and smarter, I want to wish all of my friends, supporters, enemies, haters, a… https://t.co/irAgm3wwEU"
38,-0.7579,Sun Dec 31 22:00:21 +0000 2017,0.677,0.271,0.052,@realDonaldTrump,"Iran, the Number One State of Sponsored Terror with numerous violations of Human Rights occurring on an hourly basi… https://t.co/EHq72J2QaP"
39,0.8862,Sun Dec 31 19:06:52 +0000 2017,0.657,0.0,0.343,@realDonaldTrump,"What a year it’s been, and we're just getting started. Together, we are MAKING AMERICA GREAT AGAIN! Happy New Year!! https://t.co/qsMNyN1UJG"
40,-0.6597,Sun Dec 31 18:36:28 +0000 2017,0.759,0.241,0.0,@realDonaldTrump,"My deepest condolences to the victims of the terrible shooting in Douglas County @DCSheriff, and their families. We… https://t.co/nhI3wsUInj"
41,-0.4576,Sun Dec 31 13:36:32 +0000 2017,0.667,0.185,0.148,@realDonaldTrump,Why would smart voters want to put Democrats in Congress in 2018 Election when their policies will totally kill the… https://t.co/u7zgBWSLMY
42,0.4019,Sun Dec 31 13:26:29 +0000 2017,0.886,0.0,0.114,@realDonaldTrump,"If the Dems (Crooked Hillary) got elected, your stocks would be down 50% from values on Election Day. Now they have… https://t.co/eJOxPGScHK"
43,0.296,Sun Dec 31 13:03:29 +0000 2017,0.625,0.168,0.207,@realDonaldTrump,Big protests in Iran. The people are finally getting wise as to how their money and wealth is being stolen and squa… https://t.co/3AhXkVG6Lh
44,0.0,Sun Dec 31 04:46:21 +0000 2017,1.0,0.0,0.0,@realDonaldTrump,“Trump Rally: Stocks put 2017 in the record books” https://t.co/0foQGaFjMh
45,0.0,Sat Dec 30 22:42:09 +0000 2017,1.0,0.0,0.0,@realDonaldTrump,Jobs are kicking in and companies are coming back to the U.S. Unnecessary regulations and high taxes are being dram… https://t.co/ts9xxdjQzU
46,-0.9588,Sat Dec 30 22:36:41 +0000 2017,0.513,0.487,0.0,@realDonaldTrump,"I use Social Media not because I like to, but because it is the only way to fight a VERY dishonest and unfair “pres… https://t.co/1YTuk89nmu"
47,-0.2732,Sat Dec 30 21:12:45 +0000 2017,0.913,0.087,0.0,@realDonaldTrump,"On Taxes: “This is the biggest corporate rate cut ever, going back to the corporate income tax rate of roughly 80 y… https://t.co/xTHIVribyK"
48,-0.4019,Sat Dec 30 19:02:53 +0000 2017,0.876,0.124,0.0,@realDonaldTrump,"Oppressive regimes cannot endure forever, and the day will come when the Iranian people will face a choice. The wor… https://t.co/efPOuFh5fT"
